"ID","CategoryID","ItemName","Carbs","Sugar","Fibers","Fat","UnitID","ServingID","Inactive"
"1","4","Älplermagronen","17.8","1.3","1.7","9.0","1","1,2,3","0"
"2","2","Ananas aus Konserve","13.6","12.8","1.4","0.1","1","4,5,6","0"
"3","2","Ananas","11.7","10.5","1.2","0.1","1","4,5,6","0"
"4","1","Ananassaft","12.1","12.1","0.2","0.1","2","7,8,9","0"
"5","2","Apfel getrocknet","55.4","50.0","11.2","1.6","1","153","0"
"6","2","Apfel","11.6","11.5","1.4","0.3","1","10,11,12","0"
"7","6","Apfelkuchen / Apfelwähe","17.8","9.4","1.3","6.8","1","13,14,15","1"
"8","6","Apfelmus gezuckert aus Konserve gezuckert","20.5","20.4","1.9","0.3","1","16,17,18","0"
"9","6","Apfelmus, aus Konserve ungezuckert","11.7","11.6","2.1","0.3","1","16,17,18","0"
"10","1","Apfelsaft / Süssmost","11.9","11.3","0.2","0.1","2","19,20,21","0"
"11","2","Aprikose","9.0","6.7","1.7","0.1","1","22,23,24","0"
"12","2","Aprikosenkuchen / Aprikosenwähe","16.1","6.2","1.5","6.7","1","25,26,27","0"
"13","1","Avocado","1.2","1.1","5.5","15.1","1","28,29,30","0"
"14","4","Banane gedörrt / Banananchips","80.7","65.3","7.6","1.8","1","154","0"
"15","0","Banane getrocknet","60.2","43.7","5.5","1.0","1","154","1"
"16","0","Banane","19.7","15.6","2.7","0.1","1","31,32,33","0"
"17","0","Basler Leckerli","75.0","52.0","2.8","7.9","1","34,35","0"
"18","0","Bauernbrot / Burebrot","44.3","2.4","4.4","2.0","1","36,37,38","0"
"19","0","Baumnuss / Walnuss","6.9","3.0","6.7","67.3","1","39","0"
"20","0","Beeren, gekocht","5.3","5.0","3.2","0.6","1",,"1"
"21","0","Beeren, roh","6.3","5.9","3.7","0.5","1",,"1"
"22","0","Berliner","45.8","17.1","2.2","12.8","1","40","0"
"23","0","Biber","65.6","36.9","3.0","5.6","1","41","0"
"24","0","Bier Panache","7.4","7.1","0.0","0.0","2","42,43","0"
"25","0","Bier alkoholfrei","4.9","2.6","0.0","0.0","2","42,43","0"
"26","0","Bier Lager","3.1","2.2","0.0","0.0","2","42,43","0"
"27","0","Birchermüesli, ungezuckert","11.1","8.2","1.5","3.1","1","44,45,46","0"
"28","0","Birne","10.9","9.0","2.9","0.3","1","47,48,49","0"
"29","0","Birnensaft","12.1","10.0","0.0","0.3","2","19,20,21","0"
"30","0","Birnenweggen","57.2","33.5","6.9","10.4","1","50,51,52","0"
"31","0","Blutwurst","2.5","2.4","0.1","10.9","1","53,54,55","1"
"32","0","Bohnen, gekocht","14.5","0.4","8.5","0.6","1",,"0"
"33","0","Bohnen, getrocknet","40.7","1.2","22.6","1.5","1",,"0"
"34","0","Bohne, gedämpft","4.4","3.4","3.2","0.2","1",,"0"
"35","0","Brombeere","6.5","6.1","5.2","0.7","1","39","0"
"36","0","Bündner Gerstensuppe","6.7","1.3","0.0","0.9","2","155","0"
"37","0","Bürli, halbweiss","41.5","0.4","2.9","1.0","1","56","0"
"38","0","Buttergipfeli, hell","43.5","3.3","2.6","24.2","1","57","0"
"39","0","Buttergipfeli, Vollkorn","38.7","2.2","4.2","19.7","1","57","0"
"40","0","Buttermilch","4.0","4.0","0.0","0.5","2","66,67","0"
"41","0","Butterweggli","47.3","3.4","2.2","8.7","1","58","0"
"42","0","Butterzopf","45.7","2.9","2.1","11.4","1","59","0"
"43","0","Butterzopf Vollkorn","40.4","0.9","7.3","6.4","1","59","0"
"44","0","Cafe creme ungezuckert","0.5","0.3","0.1","1.1","1","60","0"
"45","0","Cannelloni","13.8","2.1","1.6","9.0","1",,"1"
"46","0","Cappuccino (ohne Schokoladenpulver und ungezuckert)","2.6","2.5","0.0","2.2","1","60","1"
"47","0","Capuns, zubereitet","9.7","0.9","0.8","10.2","1",,"1"
"48","0","Cashewnuss","23.2","3.1","3.6","48.1","1",,"1"
"49","0","Chräbeli / Anisgebäck","75.3","40.5","2.0","2.9","1","61,163,164","0"
"50","0","Cordon Bleu","10.3","0.6","0.6","11.7","1","62","0"
"51","0","Cornflakes","79.7","7.2","4.0","0.6","1","63","0"
"52","0","Cracker Salzgebäck","66.3","0.0","2.1","15.9","1","156","0"
"53","0","Cremeschnitte","28.8","21.3","0.3","18.8","1","64","0"
"54","0","Crepes mit Nutella","35.8","26.4","1.7","22.2","1","65","0"
"55","0","Crepes mit Zimt und Zucker","29.0","14.9","0.7","11.5","1","65","0"
"56","0","Crepes nature","19.0","2.9","0.7","13.2","1","65","0"
"57","0","Dattel, getrocknet","64.7","64.7","7.5","0.6","1","61","0"
"58","0","Dörrbohne eingeweicht und ged?mpft","10.5","5.6","6.3","0.5","1",,"1"
"59","0","Dulce de Leche","52.6","52.6","0.0","7.3","1","2","1"
"60","0","Edelkastanie, roh","41.2","14.0","8.4","1.9","1",,"1"
"61","0","Eierlikör","30.8","30.8","0.0","7.7","2","157,158","0"
"62","0","Eistee, gezuckert","7.5","7.5","0.0","0.0","1","66, 67","0"
"63","0","Engadiner Nusstorte","49.9","30.9","2.0","27.7","1","68","0"
"64","0","Erbsen aus Konserve","12.8","0.0","5.0","0.8","1","159","0"
"65","0","Erbse, grün, roh","12.0","5.5","6.0","0.7","1","159","0"
"66","0","Erdbeere","6.0","5.6","3.8","0.5","1","160","0"
"67","0","Erdnuss","14.8","5.9","8.6","49.1","1","161","0"
"68","0","Erdnuss-Flips","56.5","0.0","4.9","24.2","1","165,166","0"
"69","0","Erdnuss, geröstet, gesalzen","15.0","4.2","8.0","50.0","1","161","0"
"70","0","Erdnussbutter","12.5","6.4","7.6","51.8","1","167,238","0"
"71","0","Falafel","26.2","1.9","6.4","7.9","1","168,169,170","0"
"72","0","Fasnachtschüechli","51.7","1.9","2.3","32.9","1","69","0"
"73","0","Feige getrocknet","55.9","55.9","10.0","1.2","1","70","0"
"74","0","Feige","13.5","12.2","4.1","0.5","1","71","0"
"75","0","Felche, roh","0.0","0.0","0.0","2.7","1",,"1"
"76","0","Fenchel, ged?mpft (ohne Zugabe von Salz)","2.2","0.1","3.1","0.3","1",,"1"
"77","0","Fenchel","2.3","0.1","3.3","0.3","1","171,172","0"
"78","0","Fischstäbchen, gebraten","16.6","0.1","0.9","18.6","1","173,174,175","0"
"79","0","Fischstäbchen, gebacken","17.4","0.1","1.0","12.2","1","173,174,175","0"
"80","0","Flammenkuchen, gebacken","22.7","1.8","1.4","13.9","1","215,216,217","0"
"81","0","Flammenkuchenteig","12.3","2.3","1.5","6.0","1",,"1"
"82","0","Fondue","1.0","0.1","0.0","22.4","1",,"1"
"83","0","Fruchtcocktail, aus Konserve in Sirup","17.3","16.2","1.8","0.2","1","176","0"
"84","0","Fruchtcocktail, aus Konserve mit Süssungsmittel","9.5","8.4","2.0","0.2","1","176","0"
"85","0","Fruchtsaft","12.3","11.6","0.2","0.1","1","7,8","0"
"86","0","Fruchtwähe","18.3","8.0","2.6","8.4","1","72","0"
"87","0","Frühlingsrolle, frittiert","23.1","3.0","2.5","11.2","1","177,178,179","0"
"88","0","Gem?segratin, gebacken","2.3","1.5","1.8","3.9","1",,"1"
"89","0","Gem?selasagne","11.2","2.4","1.1","7.6","1","180","1"
"90","0","Gerstenflocken","66.1","2.2","10.3","1.5","1","181","0"
"91","0","Gerstotto, gekocht","24.6","1.3","1.7","2.2","1",,"1"
"92","0","Glarner Schabziger","0.0","0.0","0.0","0.5","1",,"1"
"93","0","Granatapfel","14.3","13.3","2.3","1.2","1","73","0"
"94","0","Grapefruit","8.0","6.6","0.9","0.5","1","74","0"
"95","0","Griessbrei","11.8","4.8","0.3","3.0","1","75","0"
"96","0","Griessschnitte","15.0","4.0","0.5","6.4","1","76","0"
"97","0","Grittibänz","46.9","2.8","2.2","11.1","1","182,183","0"
"98","0","Gugelhopf Grossmutter Art","33.3","26.9","3.1","32.0","1","77","0"
"99","0","Gurke","2.0","1.9","0.8","0.1","1","7,8,9","0"
"100","0","Hackbraten","8.1","0.7","0.6","7.7","1","78","0"
"101","0","Hackplätzli","6.4","1.2","0.7","9.1","1","79","0"
"102","0","Haferbrei","15.8","5.7","1.8","4.6","1","80","0"
"103","0","Haferflocken","59.5","1.0","10.5","7.5","1","81","0"
"104","0","Hafergetränk","7.8","3.6","0.2","1.5","2","7,8,9","0"
"105","0","Halbweissbrot","46.4","0.4","3.7","1.1","1","59","0"
"106","0","Hartkaramellen, Hartbonbons","95.0","95.0","0.0","0.3","1","184,185","0"
"107","0","Hartweizengriess trocken","71.4","1.0","3.4","1.4","1",,"1"
"108","0","Haselnuss","10.1","3.0","9.7","59.5","1",,"1"
"109","0","Heidelbeere, gefriergetrocknet","56.4","46.4","24.4","4.4","1","186","1"
"110","0","Heidelbeere","10.6","10.0","1.5","0.3","1","186","0"
"111","0","Himbeere","5.8","5.4","4.3","0.8","1","186","0"
"112","0","Hirse  Korn geschält","68.8","1.5","3.8","3.9","1",,"1"
"113","0","Hirseflocken Vollkorn","68.8","1.6","3.9","3.9","1","187","0"
"114","0","Hirsotto gekocht","24.7","1.1","1.5","3.0","1","188,189","0"
"115","0","Hollandaisesauce","9.3","6.2","0.1","18.0","1",,"1"
"116","0","Holunderbeere schwarz","7.4","7.4","4.0","1.7","1","227","0"
"117","0","Honig","76.0","76.0","0.0","0.0","1","239,240","0"
"118","0","Hot Dog Brötchen","29.6","2.5","1.9","6.3","1","82,83","0"
"119","0","Hummus","9.4","0.9","5.1","14.0","1","242","0"
"120","0","H?ttenk?se, nature","2.4","2.2","0.0","4.5","1",,"1"
"121","0","Instant-Kartoffelstock zubereitet","11.5","1.8","0.8","2.8","1","228","0"
"122","0","J?gersauce","8.0","2.5","0.5","1.8","1",,"1"
"123","0","Joghurt, gezuckert","14.7","13.8","0.4","3.4","1","84","0"
"124","0","Joghurt, nature","4.5","4.5","0.0","3.6","1","84","0"
"125","0","Joghurtalternative aus Soja mit Früchten ","12.2","10.9","1.4","1.8","1","84","0"
"126","0","Joghurtalternative aus Soja nature","1.5","0.6","1.5","2.2","1","84","0"
"127","0","Johannisbeere rot","7.1","6.6","4.6","0.7","1","227","0"
"128","0","Johannisbeere schwarz","9.7","9.7","5.8","0.9","1","227","0"
"129","0","Johannisbeerkuchen","22.6","10.6","3.2","11.7","1","85","0"
"130","0","Kaffeerahm","3.8","3.8","0.0","15.0","1",,"1"
"131","0","Karotte / Rüebli gedämpft","8.0","6.3","2.8","0.4","1","192","0"
"132","0","Karotte / Rüebli roh","7.6","6.0","2.7","0.4","1","192","0"
"133","0","Karottensaft","6.8","4.8","0.9","0.1","2","7,8,9","0"
"134","0","Kartoffelsalat","12.8","0.6","1.7","3.8","1","243","0"
"135","0","Kartoffelsalat","12.4","0.7","1.6","2.2","1",,"1"
"136","0","Kartoffelstärke","83.1","0.0","0.1","0.1","1",,"1"
"137","0","Kartoffelstock","13.2","1.4","1.6","2.6","1","86","0"
"138","0","K?sekuchen im  Bl?tterteig / K?sew?he","11.7","1.2","0.5","21.9","1","87","1"
"139","0","K?sekuchen im Kuchenteig / K?sew?he","14.5","1.2","0.6","20.8","1","87","1"
"140","0","K?seschnitte","26.0","1.0","2.3","12.1","1","88","1"
"141","0","Kebab im Fladenbrot","14.5","2.2","1.2","3.6","1","89","0"
"142","0","Ketchup","26.0","24.8","0.9","0.4","1",,"0"
"143","0","Kichererbsen, gekocht","16.8","0.9","6.2","2.0","1","229","0"
"144","0","Kichererbsen, getrocknet","44.3","2.4","15.5","4.9","1",,"0"
"145","0","Kirschen ged?nstet","12.0","9.2","1.5","0.5","1",,"1"
"146","0","Kirschen","13.0","10.0","1.6","0.4","1","230","0"
"147","0","Kirschenkuchen im Blätterteig","18.8","8.4","1.4","6.9","1","90","0"
"148","0","Kirschenkuchen im Kuchenteig","19.5","8.4","1.5","6.7","1","90","0"
"149","0","Kiwi","11.0","8.9","2.4","0.6","1","91","0"
"150","0","Knäckebrot Vollkorn","61.1","3.3","12.4","1.7","1","92","0"
"151","0","Knäckebrot Vollkorn mit Leinsamen","55.2","3.1","13.8","5.7","1","92","0"
"152","0","Kn?ckebrot Vollkorn mit Sesam","55.3","3.1","12.4","6.9","1","92","1"
"153","0","Knoblauch","24.5","2.4","3.0","0.5","1",,"0"
"154","0","Knollensellerie ged?mpft","4.0","1.6","3.8","0.3","1",,"1"
"155","0","Knollensellerie roh","4.0","1.6","3.8","0.3","1",,"0"
"156","0","Kn?pflimehl","71.3","0.9","3.3","1.3","1",,"1"
"157","0","Kohlgem?se gekocht","3.1","2.6","2.4","0.4","1",,"1"
"158","0","Kohlgem?se roh","3.2","2.8","2.5","0.4","1",,"1"
"159","0","Kohlrabi, ged?mpft","3.9","3.8","1.5","0.2","1",,"1"
"160","0","Kohlrabi, roh","3.7","3.6","1.4","0.2","1",,"1"
"161","0","Kokosmakronen","35.1","35.1","15.7","38.9","1",,"1"
"162","0","Kokosnuss","4.8","4.8","9.0","36.5","1","232","0"
"163","0","Kokosnuss, getrocknet","5.3","5.3","24.7","61.3","1",,"0"
"164","0","Kokosnussmilch","3.1","1.7","0.1","21.3","2","7,8,9","0"
"165","0","Konfit?re","58.7","58.7","2.2","0.5","1","93","1"
"166","0","Konfit?re, energievermindert und mit S?ssstoffen","31.9","31.9","0.8","0.5","1","93","1"
"167","0","K?rbis","4.7","4.0","2.2","0.1","1","244","1"
"168","0","K?rbisscheiben, paniert, zubereitet","16.7","4.1","2.7","5.8","1",,"1"
"169","0","Latte Macchiato, ungezuckert","3.2","3.2","0.0","2.8","2","7,8,9","0"
"170","0","Lattich","1.3","1.3","1.5","0.3","1",,"1"
"171","0","Lauch, ged?nstet","3.9","3.7","3.0","0.3","1",,"1"
"172","0","Lauch, roh","3.7","3.5","2.8","0.3","1",,"0"
"173","0","Laugenbr?tli","48.9","2.2","2.3","4.9","1","94","1"
"174","0","Laugengeb?ck","72.1","0.4","0.7","4.1","1","95","1"
"175","0","Laugengipfeli","39.4","1.3","1.9","25.0","1","96","1"
"176","0","Lebkuchen","61.6","41.2","4.2","13.8","1","97","0"
"177","0","Limonade, gezuckert","9.5","9.5","0.0","0.0","2","7,8,9","0"
"178","0","Linsen ganz und gekocht","15.6","0.4","6.2","0.5","1",,"0"
"179","0","Linsen ganz und getrocknet","44.8","1.1","17.0","1.5","1",,"0"
"180","0","Linsen gesch?lt und gekocht","19.0","0.9","4.3","0.6","1",,"1"
"181","0","Linse gesch?lt und getrocknet","48.0","2.2","10.4","1.5","1",,"1"
"182","0","Linzertorte","43.7","25.9","3.7","23.6","1","98","0"
"183","0","L?ffelbiscuit","71.8","34.9","1.4","8.3","1","99","1"
"184","0","Madeleine mit Butter","51.3","27.8","1.1","24.8","1",,"0"
"185","0","Madeleine mit Pflanzen?l","55.1","27.8","1.2","20.0","1",,"1"
"186","0","Magermilch UHT","4.7","4.7","0.0","0.1","1",,"0"
"187","0","Magermilchpulver","50.5","50.5","0.0","1.0","1",,"1"
"188","0","Mail?nderli","53.2","22.5","1.4","20.8","1","233,234,235","1"
"189","0","Mais-Chips","56.0","2.4","4.4","27.2","1",,"0"
"190","0","Mais, ged?mpft","16.9","3.7","3.0","1.3","1","192","1"
"191","0","Mais, roh","15.7","3.4","2.8","1.2","1","192","0"
"192","0","Maisgriess gekocht","16.7","0.3","1.1","0.2","1",,"1"
"193","0","Maisgriess trocken","73.8","1.5","5.0","1.1","1",,"1"
"194","0","Maisk?lbchen","21.0","2.0","4.2","1.4","1",,"1"
"195","0","Maisst?rke","88.0","0.0","0.6","0.0","1",,"1"
"196","0","Mandarine","9.2","8.6","1.7","0.2","1","41","0"
"197","0","Mandel","7.8","6.6","10.6","52.1","1",,"0"
"198","0","Mango, getrocknet","61.1","59.9","8.4","2.2","1",,"0"
"199","0","Mango, roh","14.3","12.9","1.6","0.6","1","41","0"
"200","0","Marmorkuchen","42.6","19.7","1.3","17.1","1","100","0"
"201","0","Marzipan","68.6","68.6","4.9","17.6","1",,"0"
